"","year","state","nTrips","SE","year_state","nRainyDays","bsb.daysOpen","smf.daysOpen","scup.daysOpen","bsb.rhl","smf.rhl","scup.rhl"
"1",1998,"connecticut",14899,7047.227,"1998_connecticut",11,365,273,365,3.15,7.41,1.55
"2",1998,"delaware",63766,13263.328,"1998_delaware",8,365,273,365,3.15,7.41,1.55
"3",1998,"maryland",312424,66233.888,"1998_maryland",14,365,273,365,3.15,7.41,1.55
"4",1998,"massachusetts",299323,38313.344,"1998_massachusetts",12,365,273,365,3.15,7.41,1.55
"5",1998,"new jersey",928608,114218.784,"1998_new jersey",8,365,273,365,3.15,7.41,1.55
"6",1998,"new york",426879,84095.163,"1998_new york",11,365,273,365,3.15,7.41,1.55
"7",1998,"north carolina",325585,35163.18,"1998_north carolina",2,365,273,365,3.15,7.41,1.55
"8",1998,"rhode island",113081,17979.879,"1998_rhode island",12,365,273,365,3.15,7.41,1.55
"9",1998,"virginia",274737,39012.654,"1998_virginia",14,365,273,365,3.15,7.41,1.55
"10",1999,"connecticut",5199,3816.066,"1999_connecticut",12,365,106,365,3.15,7.41,1.24
"11",1999,"delaware",199718,26562.494,"1999_delaware",7,365,106,365,3.15,7.41,1.24
"12",1999,"maryland",151187,37192.002,"1999_maryland",14,365,106,365,3.15,7.41,1.24
"13",1999,"massachusetts",334147,40097.64,"1999_massachusetts",8,365,106,365,3.15,7.41,1.24
"14",1999,"new jersey",1017735,125181.405,"1999_new jersey",7,365,106,365,3.15,7.41,1.24
"15",1999,"new york",420683,97598.456,"1999_new york",12,365,106,365,3.15,7.41,1.24
"16",1999,"north carolina",409753,37697.276,"1999_north carolina",11,365,106,365,3.15,7.41,1.24
"17",1999,"rhode island",128449,21450.983,"1999_rhode island",8,365,106,365,3.15,7.41,1.24
"18",1999,"virginia",323219,61088.391,"1999_virginia",14,365,106,365,3.15,7.41,1.24
"19",2000,"connecticut",7844,7844,"2000_connecticut",6,366,146,366,3.15,7.41,1.24
"20",2000,"delaware",109692,17989.488,"2000_delaware",5,366,146,366,3.15,7.41,1.24
"21",2000,"maryland",182834,52290.524,"2000_maryland",4,366,146,366,3.15,7.41,1.24
"22",2000,"massachusetts",397442,45308.388,"2000_massachusetts",7,366,146,366,3.15,7.41,1.24
"23",2000,"new jersey",1484098,149893.898,"2000_new jersey",5,366,146,366,3.15,7.41,1.24
"24",2000,"new york",437440,101923.52,"2000_new york",6,366,146,366,3.15,7.41,1.24
"25",2000,"north carolina",589372,47149.76,"2000_north carolina",10,366,146,366,3.15,7.41,1.24
"26",2000,"rhode island",171079,22924.586,"2000_rhode island",7,366,146,366,3.15,7.41,1.24
"27",2000,"virginia",155193,28400.319,"2000_virginia",4,366,146,366,3.15,7.41,1.24
"28",2001,"connecticut",5866,NA,"2001_connecticut",8,295,103,78,3.15,7.16,1.77
"29",2001,"delaware",155207,23901.878,"2001_delaware",4,295,103,78,3.15,7.16,1.77
"30",2001,"maryland",193908,39751.14,"2001_maryland",6,295,103,78,3.15,7.16,1.77
"31",2001,"massachusetts",504414,50441.4,"2001_massachusetts",3,295,103,78,3.15,7.16,1.77
"32",2001,"new jersey",1190803,119080.3,"2001_new jersey",4,295,103,78,3.15,7.16,1.77
"33",2001,"new york",499403,92389.555,"2001_new york",8,295,103,78,3.15,7.16,1.77
"34",2001,"north carolina",513874,36998.928,"2001_north carolina",6,295,103,78,3.15,7.16,1.77
"35",2001,"rhode island",188921,27204.624,"2001_rhode island",3,295,103,78,3.15,7.16,1.77
"36",2001,"virginia",141759,21263.85,"2001_virginia",6,295,103,78,3.15,7.16,1.77
"37",2002,"connecticut",3887,2487.68,"2002_connecticut",4,365,365,75,3.43,9.72,2.71
"38",2002,"delaware",152213,21614.246,"2002_delaware",11,365,230,153,3.43,9.72,2.71
"39",2002,"maryland",256035,50950.965,"2002_maryland",10,365,348,153,3.43,9.72,2.71
"40",2002,"massachusetts",460704,47913.216,"2002_massachusetts",8,365,365,153,3.43,9.72,2.71
"41",2002,"new jersey",1452215,137960.425,"2002_new jersey",11,365,130,153,3.43,9.72,2.71
"42",2002,"new york",262783,82776.645,"2002_new york",4,365,183,144,3.43,9.72,2.71
"43",2002,"north carolina",570859,64507.067,"2002_north carolina",4,365,139,153,3.43,9.72,2.71
"44",2002,"rhode island",171388,21594.888,"2002_rhode island",8,365,119,153,3.43,9.72,2.71
"45",2002,"virginia",152652,30072.444,"2002_virginia",10,365,263,153,3.43,9.72,2.71
"46",2003,"connecticut",2575,1390.5,"2003_connecticut",15,320,365,144,3.43,9.28,4.01
"47",2003,"delaware",140115,22558.515,"2003_delaware",6,320,365,144,3.43,9.28,4.01
"48",2003,"maryland",261558,58850.55,"2003_maryland",16,320,365,144,3.43,9.28,4.01
"49",2003,"massachusetts",484694,44591.848,"2003_massachusetts",7,320,365,144,3.43,9.28,4.01
"50",2003,"new jersey",1248543,123605.757,"2003_new jersey",6,320,130,144,3.43,9.28,4.01
"51",2003,"new york",521918,99686.338,"2003_new york",15,320,365,144,3.43,9.28,4.01
"52",2003,"north carolina",545526,43096.554,"2003_north carolina",13,320,139,144,3.43,9.28,4.01
"53",2003,"rhode island",137498,17874.74,"2003_rhode island",7,320,143,144,3.43,9.28,4.01
"54",2003,"virginia",90221,15066.907,"2003_virginia",16,320,263,144,3.43,9.28,4.01
"55",2004,"connecticut",2142,681.156,"2004_connecticut",7,321,366,112,4.01,11.21,4.01
"56",2004,"delaware",102773,22712.833,"2004_delaware",5,321,366,144,4.01,11.21,4.01
"57",2004,"maryland",189734,72668.122,"2004_maryland",9,321,366,144,4.01,11.21,4.01
"58",2004,"massachusetts",516835,62537.035,"2004_massachusetts",4,321,366,144,4.01,11.21,4.01
"59",2004,"new jersey",1343257,151788.041,"2004_new jersey",5,321,157,144,4.01,11.21,4.01
"60",2004,"new york",518515,114073.3,"2004_new york",7,321,115,144,4.01,11.21,4.01
"61",2004,"north carolina",695661,68174.778,"2004_north carolina",12,321,366,144,4.01,11.21,4.01
"62",2004,"rhode island",115467,25287.273,"2004_rhode island",4,321,275,144,4.01,11.21,4.01
"63",2004,"virginia",143705,40381.105,"2004_virginia",9,321,278,144,4.01,11.21,4.01
"64",2005,"connecticut",6893,2205.76,"2005_connecticut",11,365,246,123,4.13,11.98,3.96
"65",2005,"delaware",99003,18612.564,"2005_delaware",15,365,365,133,4.13,11.98,3.96
"66",2005,"maryland",215704,79379.072,"2005_maryland",13,365,365,133,4.13,11.98,3.96
"67",2005,"massachusetts",655722,58359.258,"2005_massachusetts",1,365,365,123,4.13,11.98,3.96
"68",2005,"new jersey",1418793,183024.297,"2005_new jersey",15,365,157,133,4.13,11.98,3.96
"69",2005,"new york",881291,272318.919,"2005_new york",11,365,186,123,4.13,11.98,3.96
"70",2005,"north carolina",815922,71801.136,"2005_north carolina",13,365,365,133,4.13,11.98,3.96
"71",2005,"rhode island",164120,36270.52,"2005_rhode island",1,365,275,123,4.13,11.98,3.96
"72",2005,"virginia",178529,52487.526,"2005_virginia",13,365,365,133,4.13,11.98,3.96
"73",2006,"connecticut",1952,786.656,"2006_connecticut",3,365,246,133,3.99,9.29,4.15
"74",2006,"delaware",105001,22365.213,"2006_delaware",1,365,365,133,3.99,9.29,4.15
"75",2006,"maryland",96568,49925.656,"2006_maryland",13,365,365,133,3.99,9.29,4.15
"76",2006,"massachusetts",570892,60514.552,"2006_massachusetts",3,365,365,133,3.99,9.29,4.15
"77",2006,"new jersey",1230029,161133.799,"2006_new jersey",1,365,157,133,3.99,9.29,4.15
"78",2006,"new york",798332,193196.344,"2006_new york",3,365,130,133,3.99,9.29,4.15
"79",2006,"north carolina",785147,63596.907,"2006_north carolina",14,365,365,133,3.99,9.29,4.15
"80",2006,"rhode island",85524,20696.808,"2006_rhode island",3,365,275,133,3.99,9.29,4.15
"81",2006,"virginia",274431,106753.659,"2006_virginia",13,365,365,133,3.99,9.29,4.15
"82",2007,"connecticut",2857,428.55,"2007_connecticut",14,365,129,133,2.47,6.68,2.74
"83",2007,"delaware",127902,20848.026,"2007_delaware",4,365,365,133,2.47,6.68,2.74
"84",2007,"maryland",235915,100971.62,"2007_maryland",15,365,365,133,2.47,6.68,2.74
"85",2007,"massachusetts",396211,55469.54,"2007_massachusetts",1,365,67,133,2.47,6.68,2.74
"86",2007,"new jersey",1352040,164948.88,"2007_new jersey",4,365,108,133,2.47,6.68,2.74
"87",2007,"new york",651027,138668.751,"2007_new york",14,365,142,133,2.47,6.68,2.74
"88",2007,"north carolina",933863,74709.04,"2007_north carolina",11,365,365,133,2.47,6.68,2.74
"89",2007,"rhode island",42362,9573.812,"2007_rhode island",1,365,122,133,2.47,6.68,2.74
"90",2007,"virginia",185524,34507.464,"2007_virginia",15,365,269,133,2.47,6.68,2.74
"91",2008,"connecticut",2276,396.024,"2008_connecticut",21,366,101,90,2.11,6.21,1.83
"92",2008,"delaware",136626,27051.948,"2008_delaware",1,366,366,90,2.11,6.21,1.83
"93",2008,"maryland",104506,32396.86,"2008_maryland",17,366,298,90,2.11,6.21,1.83
"94",2008,"massachusetts",401816,59468.768,"2008_massachusetts",13,366,67,90,2.11,6.21,1.83
"95",2008,"new jersey",914215,133475.39,"2008_new jersey",1,366,107,90,2.11,6.21,1.83
"96",2008,"new york",465551,127095.423,"2008_new york",21,366,110,90,2.11,6.21,1.83
"97",2008,"north carolina",570927,52525.284,"2008_north carolina",10,366,366,90,2.11,6.21,1.83
"98",2008,"rhode island",50871,24621.564,"2008_rhode island",13,366,366,90,2.11,6.21,1.83
"99",2008,"virginia",96122,18647.668,"2008_virginia",17,366,356,90,2.11,6.21,1.83
"100",2009,"connecticut",2005,316.79,"2009_connecticut",21,278,66,90,1.14,7.16,2.59
"101",2009,"delaware",119969,23873.831,"2009_delaware",8,278,365,90,1.14,7.16,2.59
"102",2009,"maryland",224073,65429.316,"2009_maryland",17,278,152,90,1.14,7.16,2.59
"103",2009,"massachusetts",618468,77926.968,"2009_massachusetts",13,278,44,90,1.14,7.16,2.59
"104",2009,"new jersey",1238223,152301.429,"2009_new jersey",8,278,105,90,1.14,7.16,2.59
"105",2009,"new york",433772,127095.196,"2009_new york",21,278,78,90,1.14,7.16,2.59
"106",2009,"north carolina",702043,74416.558,"2009_north carolina",20,278,365,90,1.14,7.16,2.59
"107",2009,"rhode island",38787,22457.673,"2009_rhode island",13,278,198,90,1.14,7.16,2.59
"108",2009,"virginia",82199,21207.342,"2009_virginia",17,278,365,90,1.14,7.16,2.59
"109",2010,"connecticut",1952,320.128,"2010_connecticut",20,204,103,113,1.83,8.59,3.01
"110",2010,"delaware",70461,17897.094,"2010_delaware",2,204,286,113,1.83,8.59,3.01
"111",2010,"maryland",288631,90630.134,"2010_maryland",17,204,220,113,1.83,8.59,3.01
"112",2010,"massachusetts",590791,100434.47,"2010_massachusetts",8,204,108,113,1.83,8.59,3.01
"113",2010,"new jersey",1483665,221066.085,"2010_new jersey",2,204,101,113,1.83,8.59,3.01
"114",2010,"new york",437095,100094.755,"2010_new york",20,204,115,113,1.83,8.59,3.01
"115",2010,"north carolina",520899,55215.294,"2010_north carolina",12,204,365,113,1.83,8.59,3.01
"116",2010,"rhode island",82937,24798.163,"2010_rhode island",8,204,245,113,1.83,8.59,3.01
"117",2010,"virginia",123173,29192.001,"2010_virginia",17,204,365,113,1.83,8.59,3.01
"118",2011,"connecticut",1325,418.7,"2011_connecticut",13,164,114,113,1.84,11.58,5.74
"119",2011,"delaware",103073,24119.082,"2011_delaware",2,204,296,113,1.84,11.58,5.74
"120",2011,"maryland",187438,65415.862,"2011_maryland",16,204,229,113,1.84,11.58,5.74
"121",2011,"massachusetts",433298,59361.826,"2011_massachusetts",10,143,132,113,1.84,11.58,5.74
"122",2011,"new jersey",760978,146868.754,"2011_new jersey",2,168,142,113,1.84,11.58,5.74
"123",2011,"new york",314482,100948.722,"2011_new york",13,172,153,113,1.84,11.58,5.74
"124",2011,"north carolina",539339,61484.646,"2011_north carolina",9,148,365,113,1.84,11.58,5.74
"125",2011,"rhode island",87782,46436.678,"2011_rhode island",10,174,245,113,1.84,11.58,5.74
"126",2011,"virginia",178527,56771.586,"2011_virginia",16,204,365,113,1.84,11.58,5.74
"127",2012,"connecticut",487,194.313,"2012_connecticut",0,200,170,184,1.32,8.49,7.55
"128",2012,"delaware",107390,24377.53,"2012_delaware",0,207,297,210,1.32,8.49,7.55
"129",2012,"maryland",126428,41594.812,"2012_maryland",7,207,247,210,1.32,8.49,7.55
"130",2012,"massachusetts",282764,44111.184,"2012_massachusetts",10,174,132,210,1.32,8.49,7.55
"131",2012,"new jersey",1110276,157659.192,"2012_new jersey",0,191,147,210,1.32,8.49,7.55
"132",2012,"new york",220471,56661.047,"2012_new york",0,200,153,210,1.32,8.49,7.55
"133",2012,"north carolina",541007,43821.567,"2012_north carolina",14,210,366,210,1.32,8.49,7.55
"134",2012,"rhode island",41340,11823.24,"2012_rhode island",10,200,245,210,1.32,8.49,7.55
"135",2012,"virginia",76933,27080.416,"2012_virginia",7,210,366,210,1.32,8.49,7.55
"136",2013,"connecticut",153205,47187.14,"2013_connecticut",0,137,170,184,2.26,7.63,7.55
"137",2013,"delaware",86276,13027.676,"2013_delaware",8,210,365,365,2.26,7.63,7.55
"138",2013,"maryland",135353,49403.845,"2013_maryland",3,210,279,365,2.26,7.63,7.55
"139",2013,"massachusetts",462113,60998.916,"2013_massachusetts",3,174,132,245,2.26,7.63,7.55
"140",2013,"new jersey",1282184,251308.064,"2013_new jersey",8,161,122,243,2.26,7.63,7.55
"141",2013,"new york",388545,69161.01,"2013_new york",0,175,152,245,2.26,7.63,7.55
"142",2013,"north carolina",493754,59250.48,"2013_north carolina",11,210,365,365,2.26,7.63,7.55
"143",2013,"rhode island",101552,25794.208,"2013_rhode island",3,200,245,245,2.26,7.63,7.55
"144",2013,"virginia",73529,24485.157,"2013_virginia",3,210,365,365,2.26,7.63,7.55
"145",2014,"connecticut",19800,10355.4,"2014_connecticut",4,194,128,175,2.26,7.01,7.03
"146",2014,"delaware",85438,14524.46,"2014_delaware",8,198,365,365,2.26,7.01,7.03
"147",2014,"maryland",132537,38170.656,"2014_maryland",10,198,365,365,2.26,7.01,7.03
"148",2014,"massachusetts",362304,46012.608,"2014_massachusetts",9,122,132,245,2.26,7.01,7.03
"149",2014,"new jersey",992524,196519.752,"2014_new jersey",8,186,128,243,2.26,7.01,7.03
"150",2014,"new york",570943,145590.465,"2014_new york",4,170,128,245,2.26,7.01,7.03
"151",2014,"north carolina",515644,62392.924,"2014_north carolina",12,198,365,365,2.26,7.01,7.03
"152",2014,"rhode island",145082,37431.156,"2014_rhode island",9,186,245,245,2.26,7.01,7.03
"153",2014,"virginia",43083,10943.082,"2014_virginia",10,198,365,365,2.26,7.01,7.03
"154",2015,"connecticut",17918,7023.856,"2015_connecticut",11,198,128,184,2.33,7.38,6.8
"155",2015,"delaware",103486,16350.788,"2015_delaware",7,198,365,365,2.33,7.38,6.8
"156",2015,"maryland",256959,97644.42,"2015_maryland",8,198,365,365,2.33,7.38,6.8
"157",2015,"massachusetts",340424,71829.464,"2015_massachusetts",7,97,125,245,2.33,7.38,6.8
"158",2015,"new jersey",661293,91258.434,"2015_new jersey",7,137,128,243,2.33,7.38,6.8
"159",2015,"new york",671299,114792.129,"2015_new york",11,170,128,245,2.33,7.38,6.8
"160",2015,"north carolina",718591,87668.102,"2015_north carolina",14,198,365,365,2.33,7.38,6.8
"161",2015,"rhode island",123991,30749.768,"2015_rhode island",7,183,245,245,2.33,7.38,6.8
"162",2015,"virginia",114815,40759.325,"2015_virginia",8,198,365,365,2.33,7.38,6.8
"163",2016,"connecticut",65373,32490.381,"2016_connecticut",10,201,128,184,2.82,5.42,6.09
"164",2016,"delaware",139913,24204.949,"2016_delaware",5,201,366,366,2.82,5.42,6.09
"165",2016,"maryland",404676,137589.84,"2016_maryland",6,201,366,366,2.82,5.42,6.09
"166",2016,"massachusetts",477715,121339.61,"2016_massachusetts",10,103,125,245,2.82,5.42,6.09
"167",2016,"new jersey",681495,121987.605,"2016_new jersey",5,161,128,243,2.82,5.42,6.09
"168",2016,"new york",895524,165671.94,"2016_new york",10,188,128,245,2.82,5.42,6.09
"169",2016,"north carolina",704963,82480.671,"2016_north carolina",14,201,366,366,2.82,5.42,6.09
"170",2016,"rhode island",81041,21800.029,"2016_rhode island",10,191,245,245,2.82,5.42,6.09
"171",2016,"virginia",82750,32189.75,"2016_virginia",6,201,366,366,2.82,5.42,6.09
"172",2017,"connecticut",40510,10856.68,"2017_connecticut",8,201,128,184,2.82,5.28,5.5
"173",2017,"delaware",126476,32883.76,"2017_delaware",9,201,365,365,2.82,5.28,5.5
"174",2017,"maryland",159399,52920.468,"2017_maryland",13,201,365,365,2.82,5.28,5.5
"175",2017,"massachusetts",611091,92885.832,"2017_massachusetts",9,103,125,245,2.82,5.28,5.5
"176",2017,"new jersey",659535,103546.995,"2017_new jersey",9,157,104,243,2.82,5.28,5.5
"177",2017,"new york",753461,195146.399,"2017_new york",8,188,128,245,2.82,5.28,5.5
"178",2017,"north carolina",622132,85232.084,"2017_north carolina",16,201,365,365,2.82,5.28,5.5
"179",2017,"rhode island",63523,20200.314,"2017_rhode island",9,170,245,245,2.82,5.28,5.5
"180",2017,"virginia",87430,31649.66,"2017_virginia",13,201,365,365,2.82,5.28,5.5
"181",2018,"connecticut",23216,7173.744,"2018_connecticut",11,227,150,184,4.42,4.42,7.37
"182",2018,"delaware",112069,22301.731,"2018_delaware",9,231,365,365,4.42,4.42,7.37
"183",2018,"maryland",104819,34170.994,"2018_maryland",8,231,365,365,4.42,4.42,7.37
"184",2018,"massachusetts",390547,67174.084,"2018_massachusetts",14,117,140,245,4.42,4.42,7.37
"185",2018,"new jersey",1154238,153513.654,"2018_new jersey",9,186,121,365,4.42,4.42,7.37
"186",2018,"new york",517033,181995.616,"2018_new york",11,192,150,245,4.42,4.42,7.37
"187",2018,"north carolina",556467,65106.639,"2018_north carolina",16,231,365,365,4.42,4.42,7.37
"188",2018,"rhode island",129224,21838.856,"2018_rhode island",14,191,245,245,4.42,4.42,7.37
"189",2018,"virginia",113118,27940.146,"2018_virginia",8,231,365,365,4.42,4.42,7.37
"190",2019,"connecticut",46860,14011.14,"2019_connecticut",0,227,150,365,3.66,7.69,7.37
"191",2019,"delaware",110959,20971.251,"2019_delaware",7,231,365,365,3.66,7.69,7.37
"192",2019,"maryland",248417,77506.104,"2019_maryland",2,231,365,365,3.66,7.69,7.37
"193",2019,"massachusetts",295581,38721.111,"2019_massachusetts",11,114,140,365,3.66,7.69,7.37
"194",2019,"new jersey",1001186,180213.48,"2019_new jersey",7,186,121,365,3.66,7.69,7.37
"195",2019,"new york",625321,128816.126,"2019_new york",0,192,150,365,3.66,7.69,7.37
"196",2019,"north carolina",526686,62675.634,"2019_north carolina",15,231,246,365,3.66,7.69,7.37
"197",2019,"rhode island",106777,28936.567,"2019_rhode island",11,191,243,184,3.66,7.69,7.37
"198",2019,"virginia",95833,23862.417,"2019_virginia",2,231,365,365,3.66,7.69,7.37
